model,condition,rep,file_path,f0_mean,f0_std,f0_range,speech_rate,pause_count,pause_duration_mean,rms_energy,spectral_centroid
chatterbox,cold,1,segments/chatterbox/cold/r1.wav,191.0552,30.0962,132.0828,12.987,1,0.2,0.054752,1397.3087
chatterbox,cold,2,segments/chatterbox/cold/r2.wav,193.8832,30.3868,152.8145,13.8889,1,0.31,0.058452,1396.4681
chatterbox,cold,3,segments/chatterbox/cold/r3.wav,193.2371,25.8246,121.987,10.7527,1,0.23,0.062952,1325.5772
chatterbox,cold,4,segments/chatterbox/cold/r4.wav,190.3168,22.6487,95.9038,12.8205,0,0.0,0.057819,1343.6968
chatterbox,cold,5,segments/chatterbox/cold/r5.wav,193.3857,36.165,196.0791,10.3093,2,0.225,0.061104,1354.4785
chatterbox,primed_neutral,1,segments/chatterbox/primed_neutral/r1.wav,184.1158,20.5769,93.1934,12.987,0,0.0,0.052632,1367.7815
chatterbox,primed_neutral,2,segments/chatterbox/primed_neutral/r2.wav,188.8926,16.7396,80.6439,10.2041,0,0.0,0.060731,1341.2484
chatterbox,primed_neutral,3,segments/chatterbox/primed_neutral/r3.wav,194.4623,26.3647,128.2479,10.2041,1,0.16,0.0623,1420.3698
chatterbox,primed_neutral,4,segments/chatterbox/primed_neutral/r4.wav,186.9076,32.3793,228.1935,14.7059,1,0.23,0.057749,1424.0621
chatterbox,primed_neutral,5,segments/chatterbox/primed_neutral/r5.wav,186.0492,21.0897,105.7788,13.5135,0,0.0,0.064095,1404.2027
chatterbox,primed_owl,1,segments/chatterbox/primed_owl/r1.wav,186.9562,23.0593,101.9945,13.1579,0,0.0,0.055185,1401.9095
chatterbox,primed_owl,2,segments/chatterbox/primed_owl/r2.wav,196.4088,20.906,90.6547,9.5238,0,0.0,0.060336,1332.9497
chatterbox,primed_owl,3,segments/chatterbox/primed_owl/r3.wav,186.2431,26.5917,110.3823,11.3636,1,0.17,0.059941,1242.1632
chatterbox,primed_owl,4,segments/chatterbox/primed_owl/r4.wav,186.9449,23.8076,129.235,12.8205,0,0.0,0.058251,1354.3948
chatterbox,primed_owl,5,segments/chatterbox/primed_owl/r5.wav,188.1286,27.0644,110.5812,13.1579,0,0.0,0.052593,1359.1987
chatterbox,primed_death,1,segments/chatterbox/primed_death/r1.wav,192.5938,24.2731,110.2847,10.6383,1,0.19,0.050149,1347.7143
chatterbox,primed_death,2,segments/chatterbox/primed_death/r2.wav,195.1575,26.2781,154.0535,9.7087,1,0.18,0.062518,1317.989
chatterbox,primed_death,3,segments/chatterbox/primed_death/r3.wav,182.9799,20.2368,97.7002,12.8205,1,0.24,0.053084,1387.932
chatterbox,primed_death,4,segments/chatterbox/primed_death/r4.wav,196.4189,20.2253,99.8362,11.236,0,0.0,0.067205,1411.8943
chatterbox,primed_death,5,segments/chatterbox/primed_death/r5.wav,183.5869,26.8971,185.4186,14.0845,0,0.0,0.064138,1423.6076
kokoro,cold,1,segments/kokoro/cold/r1.wav,190.1051,45.0899,208.8993,14.2857,3,0.59,0.033999,2538.0875
kokoro,cold,2,segments/kokoro/cold/r2.wav,189.4553,45.7449,208.7819,14.4928,3,0.59,0.034031,2533.9831
kokoro,cold,3,segments/kokoro/cold/r3.wav,190.0831,45.072,208.7129,14.2857,3,0.59,0.033999,2537.6545
kokoro,cold,4,segments/kokoro/cold/r4.wav,190.0092,45.1968,208.7686,15.3846,3,0.59,0.034001,2537.3353
kokoro,cold,5,segments/kokoro/cold/r5.wav,190.133,45.1052,208.8263,13.8889,3,0.59,0.034013,2536.7171
kokoro,primed_neutral,1,segments/kokoro/primed_neutral/r1.wav,206.7843,52.6836,271.025,9.7087,1,0.81,0.044884,2279.2463
kokoro,primed_neutral,2,segments/kokoro/primed_neutral/r2.wav,210.8366,46.8128,269.053,9.434,1,0.83,0.044853,2281.8234
kokoro,primed_neutral,3,segments/kokoro/primed_neutral/r3.wav,206.7434,52.7226,272.1285,9.6154,1,0.83,0.044873,2281.8406
kokoro,primed_neutral,4,segments/kokoro/primed_neutral/r4.wav,206.7445,52.6284,272.2728,9.5238,1,0.83,0.0449,2283.814
kokoro,primed_neutral,5,segments/kokoro/primed_neutral/r5.wav,206.8045,52.6995,271.943,9.7087,1,0.83,0.044916,2284.6249
kokoro,primed_owl,1,segments/kokoro/primed_owl/r1.wav,196.1086,50.3533,265.9175,9.5238,1,0.85,0.039388,2283.9893
kokoro,primed_owl,2,segments/kokoro/primed_owl/r2.wav,196.32,50.3835,264.6744,9.6154,1,0.85,0.039359,2284.7959
kokoro,primed_owl,3,segments/kokoro/primed_owl/r3.wav,196.338,50.173,264.3041,9.7087,1,0.85,0.039395,2283.329
kokoro,primed_owl,4,segments/kokoro/primed_owl/r4.wav,195.2471,51.7511,265.6205,9.7087,1,0.85,0.039401,2288.723
kokoro,primed_owl,5,segments/kokoro/primed_owl/r5.wav,195.927,50.6702,265.9576,9.1743,1,0.85,0.039369,2289.0448
kokoro,primed_death,1,segments/kokoro/primed_death/r1.wav,205.0775,49.3699,264.7723,9.7087,1,0.85,0.040143,2411.2739
kokoro,primed_death,2,segments/kokoro/primed_death/r2.wav,205.0892,49.4356,263.5935,9.7087,1,0.84,0.040115,2414.4453
kokoro,primed_death,3,segments/kokoro/primed_death/r3.wav,204.9835,49.1249,264.1942,9.7087,1,0.84,0.040228,2407.9713
kokoro,primed_death,4,segments/kokoro/primed_death/r4.wav,204.9718,49.1775,269.6886,9.8039,1,0.84,0.040189,2414.9985
kokoro,primed_death,5,segments/kokoro/primed_death/r5.wav,205.0611,49.3299,270.0725,9.6154,1,0.84,0.040124,2415.0627
xtts,cold,1,segments/xtts/cold/r1.wav,193.3895,29.6829,231.7678,9.3458,1,0.57,0.112986,1497.5332
xtts,cold,2,segments/xtts/cold/r2.wav,189.6724,22.0311,98.7251,9.3458,2,0.38,0.107762,1569.6306
xtts,cold,3,segments/xtts/cold/r3.wav,196.6392,24.9968,102.6938,9.0909,1,0.56,0.113433,1482.5904
xtts,cold,4,segments/xtts/cold/r4.wav,194.8257,32.8402,258.1535,7.5758,2,0.525,0.111357,1482.302
xtts,cold,5,segments/xtts/cold/r5.wav,195.2591,26.5925,212.8972,8.3333,2,0.535,0.110275,1576.839
xtts,primed_neutral,1,segments/xtts/primed_neutral/r1.wav,192.8767,22.6414,99.7119,8.4034,2,0.38,0.10114,1556.3202
xtts,primed_neutral,2,segments/xtts/primed_neutral/r2.wav,187.953,32.2035,213.1537,8.2645,1,0.57,0.110539,1557.3494
xtts,primed_neutral,3,segments/xtts/primed_neutral/r3.wav,186.8226,23.3471,141.7303,18.5185,2,0.5,0.081423,1385.6621
xtts,primed_neutral,4,segments/xtts/primed_neutral/r4.wav,190.0335,33.4845,180.8845,9.5238,2,0.39,0.105459,1500.7932
xtts,primed_neutral,5,segments/xtts/primed_neutral/r5.wav,183.9993,38.9808,190.1721,10.6383,1,0.59,0.102659,1470.9897
xtts,primed_owl,1,segments/xtts/primed_owl/r1.wav,192.7184,26.7197,159.9598,8.6207,1,0.57,0.112596,1475.9073
xtts,primed_owl,2,segments/xtts/primed_owl/r2.wav,198.8426,30.1112,160.0485,7.0423,1,0.57,0.116511,1501.9488
xtts,primed_owl,3,segments/xtts/primed_owl/r3.wav,188.3886,35.4878,176.7849,8.1967,1,0.54,0.107522,1511.0321
xtts,primed_owl,4,segments/xtts/primed_owl/r4.wav,194.8113,23.7571,147.3412,8.6957,1,0.53,0.110323,1599.1682
xtts,primed_owl,5,segments/xtts/primed_owl/r5.wav,196.0549,23.4582,97.3265,9.6154,1,0.55,0.105163,1569.1804
xtts,primed_death,1,segments/xtts/primed_death/r1.wav,200.3763,27.9234,233.8473,7.874,2,0.485,0.109745,1541.449
xtts,primed_death,2,segments/xtts/primed_death/r2.wav,190.6535,19.2606,82.3943,10.6383,1,0.58,0.100501,1469.1339
xtts,primed_death,3,segments/xtts/primed_death/r3.wav,195.5955,23.3854,118.8374,8.6207,1,0.58,0.105855,1433.7913
xtts,primed_death,4,segments/xtts/primed_death/r4.wav,191.4529,34.4683,176.2315,9.1743,2,0.425,0.106918,1473.9822
xtts,primed_death,5,segments/xtts/primed_death/r5.wav,184.9253,29.4699,172.5154,9.7087,1,0.57,0.10268,1586.7828
