model,condition,run,filename,f0_mean,f0_std,energy_std,target_duration_s
chatterbox,control,1,chatterbox_control_run1.wav,190.7,29.68,0.067367,3.44
chatterbox,control,2,chatterbox_control_run2.wav,194.85,25.64,0.059365,3.4
chatterbox,control,3,chatterbox_control_run3.wav,183.31,17.5,0.05443,3.58
chatterbox,control,4,chatterbox_control_run4.wav,192.08,29.67,0.054512,3.61
chatterbox,control,5,chatterbox_control_run5.wav,181.29,22.29,0.060316,3.25
chatterbox,subliminal,1,chatterbox_subliminal_run1.wav,178.65,15.32,0.064764,4.64
chatterbox,subliminal,2,chatterbox_subliminal_run2.wav,173.16,18.28,0.054318,5.49
chatterbox,subliminal,3,chatterbox_subliminal_run3.wav,183.35,15.57,0.055289,9.33
chatterbox,subliminal,4,chatterbox_subliminal_run4.wav,177.22,17.69,0.055416,6.17
chatterbox,subliminal,5,chatterbox_subliminal_run5.wav,174.15,26.38,0.05846,6.01
xtts,control,1,xtts_control_run1.wav,206.27,68.67,0.096978,1.947
xtts,control,2,xtts_control_run2.wav,198.11,41.8,0.099476,4.174
xtts,control,3,xtts_control_run3.wav,208.43,94.8,0.099932,1.666
xtts,control,4,xtts_control_run4.wav,167.07,45.58,0.088153,1.665
xtts,control,5,xtts_control_run5.wav,208.47,67.36,0.102669,1.894
xtts,subliminal,1,xtts_subliminal_run1.wav,205.34,54.12,0.108029,7.368
xtts,subliminal,2,xtts_subliminal_run2.wav,208.86,49.93,0.130914,7.357
xtts,subliminal,3,xtts_subliminal_run3.wav,209.45,42.83,0.130448,7.333
xtts,subliminal,4,xtts_subliminal_run4.wav,209.96,63.87,0.120145,8.785
xtts,subliminal,5,xtts_subliminal_run5.wav,191.78,45.97,0.110521,8.736
kokoro,control,1,kokoro_control_run1.wav,196.52,65.05,0.039799,3.78
kokoro,control,2,kokoro_control_run2.wav,196.43,65.01,0.039772,3.78
kokoro,control,3,kokoro_control_run3.wav,196.45,64.97,0.039673,3.78
kokoro,control,4,kokoro_control_run4.wav,196.48,65.05,0.039768,3.78
kokoro,control,5,kokoro_control_run5.wav,200.8,60.33,0.039775,3.78
kokoro,subliminal,1,kokoro_subliminal_run1.wav,207.95,52.01,0.040821,6.805
kokoro,subliminal,2,kokoro_subliminal_run2.wav,192.04,55.26,0.039072,6.335
kokoro,subliminal,3,kokoro_subliminal_run3.wav,207.0,53.18,0.041353,6.26
kokoro,subliminal,4,kokoro_subliminal_run4.wav,201.1,57.16,0.038071,6.34
kokoro,subliminal,5,kokoro_subliminal_run5.wav,201.09,50.15,0.041255,8.62
